Card Name,Card Description,Labels,Members,Due Date,Start Date,List Name,Checklist,Checklist item,Checklist item due,Checklist item member
Preflight de entorno,"Validar prerequisitos en entorno limpio para instalacion reproducible",,,,,Instalabilidad,Pasos,Definir entorno de prueba limpio (sin dependencias previas del proyecto),,
Preflight de entorno,"Validar prerequisitos en entorno limpio para instalacion reproducible",,,,,Instalabilidad,Pasos,Verificar prerequisitos documentados (Python/Node/drivers/GPU segun aplique),,
Preflight de entorno,"Validar prerequisitos en entorno limpio para instalacion reproducible",,,,,Instalabilidad,Pasos,Confirmar permisos de escritura en rutas usadas por modelos y logs,,
Instalacion base,"Ejecutar instalacion principal y validar resultado",,,,,Instalabilidad,Pasos,Ejecutar instalacion principal (install.bat) y registrar resultado,,
Instalacion base,"Ejecutar instalacion principal y validar resultado",,,,,Instalabilidad,Pasos,Validar creacion de archivos/carpetas esperadas de runtime,,
Instalacion base,"Ejecutar instalacion principal y validar resultado",,,,,Instalabilidad,Pasos,Verificar que no falle por dependencias faltantes no documentadas,,
Arranque de aplicaciones,"Validar inicio de UI normal y web",,,,,Instalabilidad,Pasos,Probar arranque UI normal (start_normal_ui.bat),,
Arranque de aplicaciones,"Validar inicio de UI normal y web",,,,,Instalabilidad,Pasos,Probar arranque UI web (start_web_ui.bat y system/run_web_ui.bat),,
Arranque de aplicaciones,"Validar inicio de UI normal y web",,,,,Instalabilidad,Pasos,Confirmar que ambos modos levantan sin crash inicial,,
Consistencia de perfiles y modelos,"Alinear documentacion y runtime para perfil bajo/CPU",,,,,Instalabilidad,Pasos,Validar modelo bajo/CPU en readme.md runtime_profiles.py y process_manager.py,,
Consistencia de perfiles y modelos,"Alinear documentacion y runtime para perfil bajo/CPU",,,,,Instalabilidad,Pasos,Confirmar referencia final consistente con Qwen2.5-Coder-7B-Instruct,,
Consistencia de perfiles y modelos,"Alinear documentacion y runtime para perfil bajo/CPU",,,,,Instalabilidad,Pasos,Verificar comandos de instalacion y rutas de GGUF en entorno limpio,,
Higiene de repositorio,"Evitar basura de build que afecte instalabilidad",,,,,Instalabilidad,Pasos,Quitar artefactos versionados .next __pycache__ .pyc y .lnk no-release,,
Higiene de repositorio,"Evitar basura de build que afecte instalabilidad",,,,,Instalabilidad,Pasos,Ajustar .gitignore para prevenir reingreso,,
Higiene de repositorio,"Evitar basura de build que afecte instalabilidad",,,,,Instalabilidad,Pasos,Confirmar que un clon nuevo no arrastre basura de build,,
monitor - smoke test,"Validar funcionamiento minimo del modulo monitor",,,,,Modulos,Pasos,Verificar estado de servicios y deteccion de modelo recomendado,,
monitor - smoke test,"Validar funcionamiento minimo del modulo monitor",,,,,Modulos,Pasos,Confirmar feedback claro cuando falta modelo o dependencia,,
llm_frontend - smoke test,"Validar flujo minimo de chat local",,,,,Modulos,Pasos,Cargar GGUF valido y responder un prompt simple,,
llm_frontend - smoke test,"Validar flujo minimo de chat local",,,,,Modulos,Pasos,Confirmar compatibilidad con perfil bajo CPU,,
vlm_frontend - smoke test,"Validar inferencia visual minima",,,,,Modulos,Pasos,Cargar modulo y ejecutar inferencia visual minima,,
vlm_frontend - smoke test,"Validar inferencia visual minima",,,,,Modulos,Pasos,Verificar mensajes de error legibles si falta backend,,
model_3d - smoke test,"Validar arranque y estabilidad basica",,,,,Modulos,Pasos,Probar arranque del modulo y flujo minimo estado tarea,,
model_3d - smoke test,"Validar arranque y estabilidad basica",,,,,Modulos,Pasos,Validar que no bloquee la UI ante fallos de descarga,,
ml_sharp - smoke test,"Validar flujo minimo y manejo de fallas",,,,,Modulos,Pasos,Ejecutar flujo minimo y comprobar salida esperada,,
ml_sharp - smoke test,"Validar flujo minimo y manejo de fallas",,,,,Modulos,Pasos,Validar fallback cuando faltan dependencias,,
neutts - smoke test,"Validar TTS y conexion interna",,,,,Modulos,Pasos,Generar audio de prueba desde texto,,
neutts - smoke test,"Validar TTS y conexion interna",,,,,Modulos,Pasos,Verificar integracion entre view.py y neutts_espeak.py,,
spotedit - smoke test,"Validar procesamiento principal",,,,,Modulos,Pasos,Probar flujo principal de edicion procesamiento,,
spotedit - smoke test,"Validar procesamiento principal",,,,,Modulos,Pasos,Confirmar manejo de errores de entrada salida,,
hy_motion - smoke test,"Validar accion principal",,,,,Modulos,Pasos,Ejecutar accion principal del modulo,,
hy_motion - smoke test,"Validar accion principal",,,,,Modulos,Pasos,Validar estabilidad de UI durante el proceso,,
hyworld - smoke test,"Validar accion principal",,,,,Modulos,Pasos,Ejecutar accion principal del modulo,,
hyworld - smoke test,"Validar accion principal",,,,,Modulos,Pasos,Validar estabilidad de UI durante el proceso,,
cyberscraper - smoke test,"Validar consulta/extraccion minima",,,,,Modulos,Pasos,Probar flujo minimo de consulta extraccion,,
cyberscraper - smoke test,"Validar consulta/extraccion minima",,,,,Modulos,Pasos,Verificar respuesta controlada ante fallo de red fuente,,
scenema_audio - integracion,"Validar integracion completa desktop/web",,,,,Modulos,Pasos,Verificar presencia en system/installed_modules.json,,
scenema_audio - integracion,"Validar integracion completa desktop/web",,,,,Modulos,Pasos,Validar integracion desktop web en studio_gui.py y web_bridge.py,,
scenema_audio - integracion,"Validar integracion completa desktop/web",,,,,Modulos,Pasos,Probar vista web y enlace externo,,
Reporte por modulo,"Consolidar estado final y responsables",,,,,Cierre,Pasos,Registrar por modulo estado OK OK con observaciones o Bloqueado,,
Reporte por modulo,"Consolidar estado final y responsables",,,,,Cierre,Pasos,Para bloqueados definir owner causa raiz siguiente accion y ETA,,
Criterio de cierre PPS,"Checklist final para cierre",,,,,Cierre,Pasos,Sin bloqueantes de instalacion,,
Criterio de cierre PPS,"Checklist final para cierre",,,,,Cierre,Pasos,Sin modulos criticos en estado Bloqueado,,
Criterio de cierre PPS,"Checklist final para cierre",,,,,Cierre,Pasos,Documentacion de instalacion actualizada y validada con prueba real,,
